power;focus;weld_velocity;penetration;weld_width
5000;10;110;1.22;1.1
3500;10;120;0.26;0.53
4000;10;120;0.36;1.01
4500;10;120;0.69;1.18
5000;10;120;0.87;0.95
5500;10;120;1.3;1.13
4000;10;130;0.3;0.9
4500;10;130;0.52;1.05
5000;10;130;0.68;1.2
5500;10;130;1.01;1.17
4000;10;140;0.19;0.76
4500;10;140;0.48;1.01
5000;10;140;0.5;0.99
5500;10;140;0.69;1.14
4500;10;150;0.16;0.53
5000;10;150;0.43;0.96
5500;10;150;0.62;1.17
5000;10;160;0.18;0.7
5500;10;160;0.48;0.99
5500;10;170;0.43;1.05
5500;10;180;0.29;0.86
4000;15;60;1.31;1.08
4000;15;70;0.97;1.1
4000;15;80;1.02;1.03
4000;15;90;0.67;1.1
4500;15;90;0.97;1.2
5000;15;90;0.81;1.13
5500;15;90;1.31;1.12
4000;15;100;0.53;1.17
4500;15;100;0.73;1.22
5000;15;100;0.71;1.14
5500;15;100;1.16;1.09
4000;15;110;0.43;0.9
4500;15;110;0.6;1.17
5000;15;110;0.59;1.13
5500;15;110;1.02;1.14
4500;15;120;0.47;1.12
5000;15;120;0.59;1.12
5500;15;120;0.87;1.07
4000;15;130;0.17;0.53
4500;15;130;0.32;0.89
5000;15;130;0.44;1.09
5500;15;130;0.67;1.17
5000;15;140;0.32;0.86
5500;15;140;0.45;0.9
5000;15;150;0.18;0.82
5500;15;150;0.3;0.98
5500;15;160;0.1;0.58
5500;15;170;0.24;0.6
3500;20;60;0.93;1.21
3500;20;70;0.65;1.04
4000;20;70;0.99;1.3
5000;20;70;1.43;1.02
3500;20;80;0.44;1.01
4000;20;80;0.64;1.13
4500;20;80;1.02;1.25
5000;20;80;1.45;1.28
3500;20;90;0.23;0.64
4000;20;90;0.49;1.04
4500;20;90;0.75;1.39
5000;20;90;0.94;1.31
4000;20;100;0.32;0.84
4500;20;100;0.44;1.1
5000;20;100;0.79;1.27
5500;20;100;1.05;1.3
4000;20;110;0.23;0.59
4500;20;110;0.34;1.09
5000;20;110;0.61;1.06
5500;20;110;0.73;1.28
4500;20;120;0.12;0.72
5000;20;120;0.31;1.03
5500;20;120;0.51;1.26
5000;20;130;0.27;0.76
5500;20;130;0.45;1.13
5500;20;140;0.2;0.85
5500;20;150;0.16;0.69
