3500;0;40;1.50;1.08
3500;0;50;1.50;0.81
3500;0;60;1.50;1.07
3500;0;70;1.50;0.90
3500;0;80;1.50;0.80
3500;0;90;1.07;0.93
3500;0;100;0.80;1.02
3500;0;110;0.62;0.95
3500;0;120;0.27;0.81
3500;0;130;0.29;0.90
4000;0;60;1.50;0.90
4000;0;70;1.50;0.80
4000;0;80;1.50;0.88
4000;0;90;1.50;0.89
4000;0;100;1.02;1.15
4000;0;110;0.76;1.01
4000;0;120;0.53;0.96
4000;0;130;0.51;1.00
4000;0;140;0.22;0.76
4000;0;150;0.22;0.71
4500;0;60;1.50;0.87
4500;0;70;1.50;0.95
4500;0;80;1.50;1.03
4500;0;90;1.50;0.87
4500;0;100;1.50;0.77
4500;0;110;1.19;0.93
4500;0;120;0.93;1.11
4500;0;130;0.87;1.07
4500;0;140;0.46;1.02
4500;0;150;0.43;0.88
5000;0;90;1.50;0.91
5000;0;100;1.50;0.96
5000;0;110;1.50;1.01
5000;0;120;1.13;1.13
5000;0;130;0.97;1.03
5000;0;140;0.70;1.00
5000;0;150;0.70;1.03
5000;0;160;0.47;0.97
5000;0;170;0.37;0.91
5000;0;180;0.21;0.76
5000;0;190;0.12;0.53
5500;0;90;1.50;0.73
5500;0;100;1.50;0.78
5500;0;110;1.50;0.62
5500;0;120;1.50;0.86
5500;0;130;1.30;0.95
5500;0;140;0.99;1.01
5500;0;150;0.90;1.02
5500;0;160;0.79;1.06
5500;0;170;0.51;1.10
5500;0;180;0.37;0.72
5500;0;190;0.20;0.75
3500;-5;60;1.50;0.80
3500;-5;70;1.14;0.56
3500;-5;80;1.21;0.92
3500;-5;90;0.90;0.97
3500;-5;100;0.67;0.99
3500;-5;110;0.40;0.92
3500;-5;120;0.18;0.83
4000;-5;60;1.50;0.78
4000;-5;70;1.50;0.77
4000;-5;80;1.50;0.93
4000;-5;90;1.50;1.10
4000;-5;100;0.93;0.87
4000;-5;110;0.77;0.98
4000;-5;120;0.54;0.93
4000;-5;130;0.47;0.99
4000;-5;140;0.23;0.86
4000;-5;150;0.11;0.50
4500;-5;60;1.50;0.81
4500;-5;70;1.50;1.17
4500;-5;80;1.50;1.04
4500;-5;90;1.50;0.99
4500;-5;100;1.50;1.09
4500;-5;110;1.07;1.09
4500;-5;120;0.88;1.13
4500;-5;130;0.73;1.12
4500;-5;140;0.54;1.00
4500;-5;150;0.19;0.81
4500;-5;160;0.12;0.57
5000;-5;90;1.50;1.02
5000;-5;100;1.33;1.03
5000;-5;110;1.53;1.12
5000;-5;120;0.97;1.07
5000;-5;130;0.73;1.11
5000;-5;140;0.67;1.10
5000;-5;150;0.55;1.00
5000;-5;160;0.22;0.78
5000;-5;170;0.22;0.80
5000;-5;180;0.16;0.55
5500;-5;90;1.50;0.93
5500;-5;100;1.50;0.98
5500;-5;110;1.40;1.26
5500;-5;120;1.50;1.04
5500;-5;130;1.07;1.02
5500;-5;140;0.73;1.14
5500;-5;150;0.88;1.09
5500;-5;160;0.49;1.03
5500;-5;170;0.51;1.03
5500;-5;180;0.30;1.00
5500;-5;190;0.23;0.81
3500;-10;40;1.50;1.05
3500;-10;50;1.50;1.09
3500;-10;60;1.50;1.01
3500;-10;70;1.50;1.12
3500;-10;80;1.04;0.99
3500;-10;90;0.66;0.96
3500;-10;100;0.57;0.97
3500;-10;110;0.23;0.72
3500;-10;120;0.12;0.50
4000;-10;40;1.50;1.29
4000;-10;50;1.50;1.22
4000;-10;60;1.50;1.19
4000;-10;70;1.50;1.06
4000;-10;80;1.50;1.03
4000;-10;90;0.46;1.04
4000;-10;100;0.81;1.06
4000;-10;110;0.54;1.07
4000;-10;120;0.38;0.96
4000;-10;130;0.30;0.85
4000;-10;140;0.20;0.56
4500;-10;60;1.50;1.02
4500;-10;70;1.50;1.07
4500;-10;80;1.50;1.23
4500;-10;90;1.50;1.10
4500;-10;100;1.33;1.12
4500;-10;110;0.82;1.00
4500;-10;120;0.73;1.03
4500;-10;130;0.49;1.00
4500;-10;140;0.32;0.83
4500;-10;150;0.22;0.80
5000;-10;60;1.50;1.09
5000;-10;70;1.50;1.38
5000;-10;80;1.50;1.34
5000;-10;90;1.50;1.17
5000;-10;100;1.33;1.20
5000;-10;110;1.19;1.15
5000;-10;120;0.48;1.13
5000;-10;130;0.52;1.10
5000;-10;140;0.45;1.12
5000;-10;150;0.40;0.99
5000;-10;160;0.19;0.65
5500;-10;80;1.50;1.11
5500;-10;90;1.22;1.31
5500;-10;100;1.50;1.12
5500;-10;110;1.50;1.29
5500;-10;120;1.50;1.23
5500;-10;130;1.29;1.13
5500;-10;140;1.03;1.10
5500;-10;150;0.93;1.20
5500;-10;160;0.70;1.08
5500;-10;170;0.61;1.09
5500;-10;180;0.25;0.81
3500;-15;40;1.50;1.00
3500;-15;50;1.50;1.14
3500;-15;60;1.50;1.31
