3500;0;30;1.50;0.96
3500;0;40;1.50;1.10
3500;0;50;1.50;1.13
3500;0;60;1.50;0.88
3500;0;70;1.50;0.93
3500;0;80;1.50;0.81
3500;0;90;0.91;0.91
3500;0;100;0.51;0.99
3500;0;110;0.20;0.77
3500;0;120;0.13;0.61
4000;0;50;1.50;1.01
4000;0;60;1.50;0.93
4000;0;70;1.50;0.88
4000;0;80;1.50;0.99
4000;0;90;1.50;0.91
4000;0;100;0.84;0.78
4000;0;110;0.59;0.97
4000;0;120;0.33;0.75
4000;0;130;0.12;0.58
4500;0;70;1.50;0.93
4500;0;80;1.50;0.82
4500;0;90;1.50;0.80
4500;0;100;1.36;0.96
4500;0;110;0.85;0.99
4500;0;120;0.62;0.91
4500;0;130;0.47;0.87
4500;0;140;0.22;0.77
4500;0;150;0.10;0.60
5000;0;80;1.50;0.90
5000;0;90;0.54;1.14
5000;0;100;1.50;0.83
5000;0;110;1.21;0.89
5000;0;120;0.87;0.98
5000;0;130;0.63;0.95
5000;0;140;0.53;0.82
5000;0;150;0.28;0.88
5000;0;160;0.19;0.70
5500;0;80;1.50;0.84
5500;0;90;1.50;0.81
5500;0;100;1.50;0.79
5500;0;110;1.50;0.84
5500;0;120;1.50;0.83
5500;0;130;1.05;0.94
5500;0;140;0.90;0.94
5500;0;150;0.43;1.02
5500;0;160;0.51;0.97
5500;0;170;0.16;0.67
5500;0;180;0.15;0.76
3500;-5;30;1.50;1.03
3500;-5;40;1.50;1.10
3500;-5;50;1.50;1.09
3500;-5;60;1.50;0.92
3500;-5;70;1.50;0.85
3500;-5;80;1.24;0.87
3500;-5;90;0.79;0.98
3500;-5;100;0.50;0.93
3500;-5;110;0.13;0.58
4000;-5;50;1.50;0.88
4000;-5;60;1.50;0.87
4000;-5;70;1.50;1.00
4000;-5;80;1.50;0.90
4000;-5;90;1.00;0.99
4000;-5;100;0.59;1.07
4000;-5;110;0.41;0.96
4500;-5;70;1.50;0.91
4500;-5;80;1.04;0.97
4500;-5;90;1.50;0.87
4500;-5;100;0.98;1.04
4500;-5;110;0.69;0.97
4500;-5;120;0.47;0.83
4500;-5;130;0.29;0.86
4500;-5;140;0.17;0.71
5000;-5;80;1.22;1.01
5000;-5;90;1.10;0.90
5000;-5;100;1.27;0.98
5000;-5;110;0.94;1.00
5000;-5;120;0.73;1.01
5000;-5;130;0.50;0.90
5000;-5;140;0.39;0.97
5000;-5;150;0.23;0.67
5500;-5;80;1.50;1.04
5500;-5;90;1.50;0.94
5500;-5;100;1.50;0.75
5500;-5;110;1.10;1.06
5500;-5;120;1.08;1.03
5500;-5;130;0.77;0.93
5500;-5;140;0.55;0.99
5500;-5;150;0.44;0.93
5500;-5;160;0.28;0.83
5500;-5;170;0.10;0.66
3500;-10;30;1.50;1.17
3500;-10;40;1.50;1.04
3500;-10;50;1.50;1.10
3500;-10;60;1.50;0.95
3500;-10;70;1.50;0.83
3500;-10;80;0.69;1.01
3500;-10;90;0.39;0.99
3500;-10;100;0.14;0.67
4000;-10;50;1.50;0.92
4000;-10;60;1.50;0.91
4000;-10;70;1.50;0.99
4000;-10;80;1.10;0.99
4000;-10;90;0.68;1.00
4000;-10;100;0.48;0.96
4000;-10;110;0.23;0.85
4500;-10;70;1.50;0.68
4500;-10;80;0.50;1.11
4500;-10;90;0.88;1.00
4500;-10;100;0.75;1.12
4500;-10;110;0.43;0.83
4500;-10;120;0.23;0.83
4500;-10;130;0.10;0.55
5000;-10;80;1.10;1.05
5000;-10;90;0.99;1.05
5000;-10;100;1.17;1.05
5000;-10;110;0.69;0.97
5000;-10;120;0.57;0.93
5000;-10;130;0.27;0.90
5000;-10;140;0.20;0.80
5500;-10;80;1.50;0.83
5500;-10;90;1.25;0.97
5500;-10;100;1.17;1.13
5500;-10;110;0.84;1.16
5500;-10;120;0.77;0.98
5500;-10;130;0.54;1.07
5500;-10;140;0.43;0.97
5500;-10;150;0.20;0.76
5500;-10;160;0.12;0.61
3500;-15;20;1.50;1.45
3500;-15;30;1.50;1.30
3500;-15;40;1.50;1.34
3500;-15;50;1.50;1.17
3500;-15;60;1.50;1.05
3500;-15;70;0.77;1.25
3500;-15;80;0.40;0.89
3500;-15;90;0.21;0.66
4000;-15;40;1.50;1.06
4000;-15;50;1.50;1.08
4000;-15;60;1.50;1.21
4000;-15;70;1.09;1.28
4000;-15;80;0.51;1.29
4000;-15;90;0.35;0.95
4000;-15;100;0.20;0.83
4500;-15;60;1.50;0.92
4500;-15;70;0.83;1.13
4500;-15;80;0.98;1.17
4500;-15;90;0.70;1.07
4500;-15;100;0.56;1.04
4500;-15;110;0.22;0.80
5000;-15;80;0.68;1.14
5000;-15;90;0.46;0.89
5000;-15;100;0.72;0.97
5000;-15;110;0.42;1.03
5000;-15;120;0.23;0.86
5000;-15;130;0.11;0.56
5500;-15;80;0.94;1.12
5500;-15;90;0.79;1.10
5500;-15;100;1.01;1.13
5500;-15;110;0.53;1.16
5500;-15;120;0.40;1.17
5500;-15;130;0.24;0.94
5500;-15;140;0.10;0.77
3500;-20;20;1.50;1.65
3500;-20;30;1.50;1.37
3500;-20;40;1.50;1.40
3500;-20;50;1.50;1.17
3500;-20;60;0.72;1.21
3500;-20;70;0.38;0.97
3500;-20;80;0.16;0.78
4000;-20;40;1.50;1.17
4000;-20;50;1.04;1.27
4000;-20;60;1.18;1.23
4000;-20;70;0.79;1.18
4000;-20;80;0.50;1.03
4000;-20;90;0.11;0.56
4500;-20;50;1.12;1.19
4500;-20;60;0.95;1.24
4500;-20;70;0.99;1.29
4500;-20;80;0.68;1.13
4500;-20;90;0.35;0.95
4500;-20;100;0.26;0.86
5000;-20;60;1.06;1.38
5000;-20;70;0.88;1.31
5000;-20;80;1.00;1.34
5000;-20;90;0.65;1.21
5000;-20;100;0.41;1.06
5000;-20;110;0.14;0.70
5500;-20;60;1.50;1.24
5500;-20;70;1.15;1.23
5500;-20;80;1.50;1.07
5500;-20;90;0.93;1.13
5500;-20;100;0.70;1.22
5500;-20;110;0.35;0.81
5500;-20;120;0.13;0.77
3500;5;30;1.50;0.97
3500;5;40;1.50;1.05
3500;5;50;1.50;0.96
3500;5;60;1.50;1.00
3500;5;70;1.50;0.80
3500;5;80;1.26;0.84
3500;5;90;0.72;0.83
3500;5;100;0.26;0.86
3500;5;110;0.11;0.65
4000;5;50;1.50;0.77
4000;5;60;1.50;0.96
4000;5;70;1.50;0.83
4000;5;80;1.50;0.79
4000;5;90;1.50;0.72
4000;5;100;0.75;1.00
4000;5;110;0.47;0.93
4000;5;120;0.14;0.65
4500;5;70;1.50;0.84
4500;5;80;1.50;0.94
4500;5;90;1.50;0.88
4500;5;100;1.16;0.95
4500;5;110;0.69;1.05
4500;5;120;0.44;0.94
4500;5;130;0.28;0.91
5000;5;80;1.50;0.78
5000;5;90;1.18;1.01
5000;5;100;1.50;0.77
5000;5;110;1.16;0.93
5000;5;120;0.87;1.06
5000;5;130;0.64;0.99
5000;5;140;0.46;0.95
5000;5;160;0.15;0.72
5500;5;80;1.50;0.70
5500;5;90;1.50;0.74
5500;5;100;1.50;0.79
5500;5;110;1.50;0.83
5500;5;120;1.15;0.88
5500;5;130;0.93;0.93
5500;5;140;0.70;1.00
5500;5;150;0.38;0.89
5500;5;160;0.33;1.02
5500;5;170;0.14;0.97
3500;10;30;1.50;1.17
3500;10;40;1.50;1.19
3500;10;50;1.50;1.40
3500;10;60;1.50;0.97
3500;10;70;1.50;1.07
3500;10;80;0.74;1.22
3500;10;90;0.33;0.91
3500;10;100;0.15;0.75
4000;10;50;1.50;0.96
4000;10;60;1.50;0.94
4000;10;70;1.50;0.81
4000;10;80;1.08;0.99
4000;10;90;0.67;1.00
4000;10;100;0.31;0.86
4000;10;110;0.14;0.69
4500;10;70;1.47;0.80
4500;10;80;0.93;1.03
4500;10;90;0.85;1.04
4500;10;100;0.69;1.04
4500;10;110;0.46;0.94
4500;10;120;0.27;0.89
4500;10;130;0.12;0.63
5000;10;80;1.50;0.95
5000;10;90;0.99;1.13
5000;10;100;0.98;1.10
5000;10;110;0.68;1.15
5000;10;120;0.59;1.06
5000;10;130;0.32;0.89
5000;10;140;0.19;0.65
5500;10;80;1.50;0.89
5500;10;90;1.40;1.03
5500;10;100;1.50;0.87
5500;10;110;1.03;1.10
5500;10;120;0.94;1.06
5500;10;130;0.63;1.07
5500;10;140;0.47;1.02
5500;10;160;0.10;0.87
3500;10;20;1.50;1.41
3500;10;30;1.50;1.37
3500;10;40;1.50;1.44
3500;10;50;1.50;1.26
3500;10;60;1.50;0.83
3500;10;70;0.63;1.18
3500;10;80;0.43;0.86
4000;15;40;1.50;0.95
4000;15;50;1.50;1.01
4000;15;60;1.50;1.12
4000;15;70;1.06;1.18
4000;15;80;0.67;1.07
4000;15;90;0.44;0.99
4000;15;100;0.23;0.74
4500;15;60;1.50;0.97
4500;15;70;0.84;1.19
4500;15;80;0.97;1.19
4500;15;90;0.57;1.13
4500;15;100;0.34;0.95
4500;15;110;0.14;0.73
5000;15;80;0.97;1.07
5000;15;90;0.54;1.21
5000;15;100;0.70;1.06
5000;15;110;0.41;1.12
5000;15;120;0.26;0.77
5500;15;80;1.50;0.95
5500;15;90;0.84;1.25
5500;15;100;0.98;1.11
5500;15;110;0.75;1.12
5500;15;120;0.45;1.10
5500;15;130;0.19;0.84
5500;15;140;0.19;0.81
3500;20;20;1.50;1.84
3500;20;30;1.50;1.55
3500;20;40;1.50;1.60
3500;20;50;1.50;1.26
3500;20;60;0.51;1.38
3500;20;70;0.12;0.73
4000;20;40;1.50;1.08
4000;20;50;1.22;1.14
4000;20;60;0.93;1.25
4000;20;70;0.62;1.11
4000;20;80;0.30;0.83
4500;20;50;1.50;1.21
4500;20;60;0.84;1.26
4500;20;70;1.01;1.33
4500;20;80;0.56;1.32
4500;20;90;0.38;1.09
4500;20;100;0.12;0.61
5000;20;60;1.13;1.20
5000;20;70;0.94;1.13
5000;20;80;0.88;1.24
5000;20;90;0.55;1.13
5000;20;100;0.37;1.11
5000;20;110;0.12;0.68
5500;20;60;1.50;1.17
5500;20;70;1.20;1.22
5500;20;80;1.21;1.22
5500;20;90;0.83;1.15
5500;20;100;0.58;1.13
5500;20;110;0.35;1.13
5500;20;120;0.12;0.73
